event_name,year,century,region,category,key_figures,cause,immediate_effect,long_term_impact,deaths_estimated,duration_years,significance_score,tags
Invention of Writing (Cuneiform),3400 BCE,-35,Mesopotamia,Cultural/Technological,Sumerian scribes,Need to record trade and tax transactions,Permanent record-keeping became possible,Foundation of civilization history law and literature,0,500+,10,writing;sumeria;mesopotamia;civilization
Construction of Great Pyramid,2560 BCE,-26,Egypt,Architecture/Engineering,Pharaoh Khufu;Hemiunu,Pharaoh's funerary monument;state power,Wonder of ancient world built,Only surviving Ancient Wonder; engineering marvel still studied,20000,20,9,egypt;pyramid;architecture;ancient
Code of Hammurabi,1754 BCE,-18,Mesopotamia,Legal/Political,King Hammurabi of Babylon,Need for standardized laws across empire,282 laws codified and publicly displayed,One of earliest legal codes; influence on modern law,0,1,9,law;babylon;mesopotamia;governance
Trojan War,1200 BCE,-13,Greece/Turkey,Military/Mythological,Achilles;Hector;Agamemnon;Helen;Paris,Disputed historical/mythological conflict,Destruction of Troy,Foundational myth of Greek and Western culture,50000,10,8,greece;troy;war;mythology
Marathon Battle,490 BCE,-5,Greece,Military,Pheidippides;Miltiades;Darius I,Persian invasion of Greece,Greeks repelled Persian forces,Preserved Greek democracy and civilization,6400,1,8,greece;persia;battle;democracy
Life of Socrates,470-399 BCE,-5,Greece,Philosophy,Socrates;Plato;Alcibiades,Athenian intellectual climate,Socratic method developed,Foundation of Western philosophy and critical thinking,0,71,10,philosophy;greece;socrates;reason
Construction of Parthenon,447-432 BCE,-5,Greece,Architecture,Pericles;Phidias,Athenian golden age and democracy,Iconic temple completed on Acropolis,Symbol of democracy and Western aesthetic ideals,0,15,9,greece;athens;architecture;democracy
Death of Alexander the Great,323 BCE,-4,Greece/Persia,Political/Military,Alexander;Ptolemy;Seleucus,Fever in Babylon at age 32,Empire immediately fragmented,Hellenistic culture spread from Egypt to India; Greek language spread,0,1,9,alexander;greece;empire;hellenism
Construction of Great Wall (Early),221 BCE,-3,China,Military/Engineering,Emperor Qin Shi Huang,Defense against northern nomads,Northern border protected,Symbol of Chinese civilization; world heritage site,500000,10,8,china;wall;emperor;engineering
Julius Caesar Assassination,44 BCE,-1,Rome,Political,Julius Caesar;Marcus Brutus;Cassius;Mark Antony,Fear of Caesar becoming king,Civil war erupted in Rome,End of Roman Republic; rise of Augustus and Roman Empire,1,1,9,rome;caesar;assassination;republic
Battle of Actium,31 BCE,-1,Greece/Egypt,Military/Political,Octavian (Augustus);Mark Antony;Cleopatra,Power struggle in Roman world,Octavian's victory; Cleopatra and Antony suicide,Roman Empire established under Augustus; end of Ptolemaic Egypt,5000,1,9,rome;augustus;cleopatra;empire
Birth of Jesus Christ,4 BCE,-1,Middle East,Religious,Jesus;Mary;Joseph,Jewish religious context,Christianity founded,Largest religion globally with 2.4 billion adherents,0,33,10,christianity;jesus;religion;middleeast
Fall of Jerusalem,70 CE,1,Middle East,Military/Religious,Titus;Jewish Zealots,Jewish revolt against Rome,Second Temple destroyed; Jewish diaspora began,1100000,4,9,rome;judaism;israel;temple
Spread of Buddhism to China,67 CE,1,Asia,Religious/Cultural,Emperor Ming of Han;Buddhist monks,Trade routes and missionary activity,Buddhism adopted in China and East Asia,0,100,9,buddhism;china;religion;silk_road
Codification of Roman Law (Justinian),529 CE,6,Byzantine Empire,Legal,Emperor Justinian I;Tribonian,Need to consolidate 1000 years of Roman law,Corpus Juris Civilis created,Basis of civil law systems in Europe and Latin America,0,7,10,law;byzantine;justinian;rome
Islamic Conquests,632-750 CE,7,Middle East/North Africa/Spain,Military/Religious,Muhammad;Abu Bakr;Umar;Ali,Death of Muhammad and spread of Islam,Arab empire stretched from Spain to Central Asia,Islam became world's second largest religion; Arabic culture and science spread,1000000,118,10,islam;arab;conquest;religion
Battle of Tours,732 CE,8,France,Military,Charles Martel;Abd al-Rahman al-Ghafiqi,Muslim expansion into Western Europe,Muslim advance into Europe halted,Western European Christianity preserved; Carolingian dynasty empowered,10000,1,8,france;islam;charles_martel;europe
Viking Age,793-1066 CE,9,Europe/North Atlantic,Military/Exploration,Ragnar Lothbrok;Leif Eriksson;Eric the Red,Norse expansion and climate warming,Raids and settlements across Europe and North Atlantic,European trade routes shaped; North America reached ~1000 CE,200000,273,8,vikings;norse;exploration;europe
Magna Carta,1215 CE,13,England,Legal/Political,King John;English barons,Baronial rebellion against King John,King's power legally limited by charter,Foundation of constitutional law; influenced US Constitution and Bill of Rights,0,1,10,law;england;rights;constitution
Black Death,1347-1351 CE,14,Europe/Asia,Pandemic,Yersinia pestis bacterium;Genoese merchants,Bubonic plague spread via fleas on rats along Silk Road,25-50 million Europeans dead; social upheaval,Labor scarcity empowered peasants; questioned Church authority; may have triggered Renaissance,50000000,4,10,plague;europe;pandemic;medieval
Gutenberg Printing Press,1440 CE,15,Germany,Technology,Johannes Gutenberg,Desire to mass-produce books,Books became affordable and widely available,Information revolution; Reformation enabled; scientific revolution accelerated; literacy expanded,0,1,10,printing;gutenberg;technology;information
Columbus Reaches Americas,1492 CE,15,Atlantic/Americas,Exploration,Christopher Columbus;Queen Isabella;Ferdinand,Spanish desire for western trade route to Asia,Permanent contact between Old and New Worlds,Columbian Exchange; genocide of indigenous peoples; European colonization; global economy reshaped,100000000,1,10,columbus;americas;exploration;colonialism
Protestant Reformation,1517 CE,16,Germany/Europe,Religious,Martin Luther;John Calvin;Henry VIII,Church corruption and sale of indulgences,Christianity split into Catholic and Protestant branches,Religious wars across Europe; individual conscience vs Church authority; secularism eventually emerged,3000000,130,9,reformation;luther;religion;europe
Spanish Conquest of Aztec Empire,1521 CE,16,Mexico,Military/Colonial,Hernán Cortés;Moctezuma II;La Malinche,Spanish gold-seeking expedition,Aztec Empire destroyed; Mexico colonized,Indigenous population collapsed 90%; Spanish colonial empire established; mestizo culture emerged,5000000,2,9,aztec;spain;conquest;colonialism
Copernican Revolution,1543 CE,16,Poland,Science,Nicolaus Copernicus;Galileo Galilei;Kepler,Observation inconsistencies with geocentric model,Heliocentric solar system proposed,Scientific method established; Church authority challenged; astronomy transformed,0,100,10,science;copernicus;astronomy;revolution
Defeat of Spanish Armada,1588 CE,16,English Channel,Military,Francis Drake;Queen Elizabeth I;Philip II of Spain,Spanish attempt to invade England,Spanish fleet destroyed by English navy and storms,British naval supremacy established; Protestant England survived; British Empire's foundation,20000,1,8,england;spain;armada;naval
Thirty Years War,1618-1648 CE,17,Europe,Military/Religious,Ferdinand II;Gustavus Adolphus;Cardinal Richelieu,Religious and political conflicts in Holy Roman Empire,8 million dead; Germany devastated,Peace of Westphalia established nation-state sovereignty; modern international relations born,8000000,30,9,war;europe;religion;sovereignty
English Civil War,1642-1651 CE,17,England,Political/Military,Charles I;Oliver Cromwell;Parliament,Conflict between monarchy and parliamentary power,King Charles I executed; republic briefly established,Constitutional monarchy established; precedent for parliamentary sovereignty; influenced American Revolution,600000,9,8,england;civil_war;parliament;democracy
Scientific Revolution,1543-1687 CE,16-17,Europe,Science,Galileo;Kepler;Newton;Descartes;Francis Bacon,Renaissance humanism and observation over tradition,Modern scientific method established,Foundation of modern science; empiricism over dogma; transformed medicine physics chemistry,0,144,10,science;newton;galileo;enlightenment
Glorious Revolution,1688 CE,17,England,Political,William of Orange;James II;John Locke,Catholic threat to Protestant England,William and Mary invited to rule; Bill of Rights signed,Constitutional monarchy permanently established; Locke's ideas influenced American Constitution,200,1,9,england;democracy;rights;constitution
The Enlightenment,1685-1815 CE,17-19,Europe/Americas,Philosophy/Political,Voltaire;Rousseau;Locke;Montesquieu;Kant,Scientific revolution inspiring reason-based thinking,Philosophy of individual rights and reason developed,American and French Revolutions; liberal democracy; separation of church and state,0,130,10,enlightenment;philosophy;democracy;reason
American Revolution,1775-1783 CE,18,North America,Political/Military,George Washington;Thomas Jefferson;Benjamin Franklin;George III,Colonial taxation without representation; Enlightenment ideals,United States of America established,First modern democratic republic; inspired French Revolution and global democracy movements,50000,8,10,america;revolution;democracy;independence
French Revolution,1789-1799 CE,18,France,Political/Social,Robespierre;Louis XVI;Marie Antoinette;Napoleon,Inequality; financial crisis; Enlightenment ideas,Monarchy overthrown; Reign of Terror; Napoleon rose,Liberty equality fraternity as universal ideals; end of European feudalism; nationalism emerged,40000,10,10,france;revolution;democracy;napoleon
Haitian Revolution,1791-1804 CE,18,Haiti,Political/Military,Toussaint Louverture;Jean-Jacques Dessalines;Henri Christophe,Slavery and colonial oppression,Only successful slave revolt in history; Haiti independent,First Black republic; challenged slavery worldwide; inspired abolition movements,350000,13,9,haiti;slavery;revolution;independence
Industrial Revolution,1760-1840 CE,18-19,Britain/Europe,Technological/Economic,James Watt;George Stephenson;Richard Arkwright,Steam power and textile innovations,Mass production; urbanization; class system transformed,Modern capitalism; global trade; environmental degradation; labor movements; middle class rise,1000000,80,10,industry;technology;capitalism;britain
Napoleonic Wars,1803-1815 CE,19,Europe,Military/Political,Napoleon Bonaparte;Wellington;Nelson,Napoleon's ambition and French revolutionary expansion,Continental Europe reorganized; nationalism spread,Concert of Europe; nationalism; spread of French law; modern warfare tactics,5000000,12,9,napoleon;france;war;europe
Abolition of Slavery (British Empire),1833 CE,19,Britain/Colonies,Social/Political,William Wilberforce;Frederick Douglass;Olaudah Equiano,Abolitionist movement and moral arguments,Slavery ended in British Empire (800000 enslaved people freed),Moral precedent for universal abolition; led to US Civil War and 13th Amendment,0,1,9,slavery;abolition;britain;rights
US Civil War,1861-1865 CE,19,USA,Military/Political,Abraham Lincoln;Ulysses Grant;Robert E. Lee;Frederick Douglass,Slavery and states rights,Slavery abolished; Union preserved,13th Amendment abolished slavery; Reconstruction; Black civil rights struggle began; modern USA formed,750000,4,9,america;civil_war;slavery;lincoln
Meiji Restoration,1868 CE,19,Japan,Political/Social,Emperor Meiji;Saigo Takamori;Ito Hirobumi,Western pressure and desire to modernize,Japan rapidly industrialized and modernized,Japan became major world power; first non-Western nation to industrialize; led to WWII ambitions,0,1,9,japan;modernization;meiji;asia
Berlin Conference (Scramble for Africa),1884-1885 CE,19,Africa/Europe,Political/Colonial,Otto von Bismarck;European colonial powers,European competition for African resources and territory,Africa divided between European powers without African input,Arbitrary borders causing modern African conflicts; colonialism extracting resources for decades; underdevelopment,0,1,10,africa;colonialism;europe;partition
Spanish-American War,1898 CE,19,Americas/Pacific,Military/Political,Theodore Roosevelt;William McKinley;Emilio Aguinaldo,USS Maine explosion; Cuban revolution,Spain lost Cuba Puerto Rico Philippines Guam; USA became imperial power,America emerged as global power; Philippines independence struggle; end of Spanish Empire,50000,1,8,usa;spain;imperialism;war
Russian Revolution,1917 CE,20,Russia,Political/Social,Vladimir Lenin;Leon Trotsky;Nicholas II;Stalin,WWI catastrophic losses; inequality; Bolshevik organization,Tsar overthrown; Soviet Union established,Cold War; communism spread to China and Eastern Europe; 70 years of USSR influence,50000,1,10,russia;revolution;communism;soviet
Spanish Flu Pandemic,1918-1920 CE,20,Global,Pandemic,H1N1 influenza virus,WWI troop movements; poor sanitation; close quarters,50-100 million deaths globally; more than WWI,Public health infrastructure developed; vaccination programs established; pandemic preparedness awareness,75000000,2,10,pandemic;influenza;disease;global
World War I,1914-1918 CE,20,Europe/Global,Military/Political,Kaiser Wilhelm II;Franz Ferdinand;Lloyd George;Foch;Haig,Assassination of Archduke Franz Ferdinand; alliance system; nationalism,17 million dead; empires dissolved; map of Europe redrawn,Treaty of Versailles; rise of fascism; WWI conditions causing WWII; end of Ottoman/Austro-Hungarian empires,20000000,4,10,war;europe;wwi;trench_warfare
The Holocaust,1933-1945 CE,20,Europe,Genocide,Adolf Hitler;Heinrich Himmler;Josef Mengele,Nazi ideology of racial antisemitism; WWII context,6 million Jews and 5-6 million others systematically murdered,Geneva Convention strengthened; Israel founded; UN created; genocide as international crime defined; collective trauma,11000000,12,10,holocaust;genocide;nazi;wwii
World War II,1939-1945 CE,20,Global,Military/Political,Hitler;Churchill;Roosevelt;Stalin;Hirohito;Eisenhower,Nazi aggression; appeasement failure; Japanese imperialism,70-85 million dead; nuclear bombs used; Europe devastated,United Nations; Cold War; decolonization; nuclear age; Marshall Plan; European integration,80000000,6,10,war;wwii;nuclear;global
Hiroshima and Nagasaki Atomic Bombs,1945 CE,20,Japan,Military/Technology,Harry Truman;J. Robert Oppenheimer;Enola Gay crew,WWII Pacific theater; Japanese refusal to surrender,Japan surrendered; WWII ended; nuclear age began,Nuclear deterrence and MAD doctrine; arms race; nonproliferation efforts; nuclear anxiety in culture,200000,1,10,nuclear;japan;wwii;atomic_bomb
Indian Independence and Partition,1947 CE,20,South Asia,Political/Social,Mahatma Gandhi;Jawaharlal Nehru;Muhammad Ali Jinnah;Mountbatten,Indian independence movement; British withdrawal; Hindu-Muslim tensions,India and Pakistan created as separate nations; 14 million displaced; 1 million killed,Largest mass migration in history; India-Pakistan conflict ongoing; nuclear standoff; Kashmir dispute,1000000,1,9,india;pakistan;independence;partition
Founding of Israel and Arab-Israeli War,1948 CE,20,Middle East,Political/Military,David Ben-Gurion;Chaim Weizmann;King Abdullah,Holocaust; Zionism; British Mandate ending; UN partition plan,State of Israel declared; Arab nations invaded; Palestinian Nakba (750000 displaced),Ongoing Israeli-Palestinian conflict; Middle East geopolitics reshaping; US-Israel alliance,15000,1,10,israel;palestine;middleeast;conflict
Korean War,1950-1953 CE,20,Korea,Military/Political,Douglas MacArthur;Kim Il-sung;Mao Zedong;Truman,North Korean invasion of South Korea; Cold War proxy conflict,Division of Korea at 38th parallel hardened,Still technically ongoing; North Korea nuclear program; US-South Korea alliance; Cold War flashpoint,5000000,3,8,korea;war;cold_war;usa
Cuban Missile Crisis,1962 CE,20,Caribbean/Global,Military/Political,John F. Kennedy;Nikita Khrushchev;Fidel Castro,Soviet missiles deployed in Cuba; US intelligence discovery,Closest humanity came to nuclear war; peaceful resolution,Nuclear hotline established; Test Ban Treaty; détente eventually; demonstrated MAD doctrine,0,0.04,10,nuclear;cuba;cold_war;kennedy
Civil Rights Act USA,1964 CE,20,USA,Social/Political,Martin Luther King Jr.;Lyndon B. Johnson;Rosa Parks;Malcolm X,Civil rights movement; segregation injustice,Racial discrimination in public life made illegal,Voting Rights Act; affirmative action; global civil rights movements inspired; Black political power grew,0,1,9,civil_rights;usa;racism;equality
Vietnam War,1955-1975 CE,20,Southeast Asia,Military/Political,Ho Chi Minh;Vo Nguyen Giap;Nixon;LBJ;Kissinger,Cold War containment policy; Vietnamese nationalism,US defeat; Vietnam unified under communism,US military credibility damaged; anti-war movement reshaping politics; refugee crisis; domino theory questioned,3500000,20,9,vietnam;war;cold_war;usa
Moon Landing Apollo 11,1969 CE,20,Moon,Space Exploration,Neil Armstrong;Buzz Aldrin;Michael Collins;NASA,Space Race competition with USSR; JFK's challenge,Humans first walked on Moon,Technological confidence; space exploration continued; environmental perspective (Earthrise); geopolitical prestige,0,1,10,moon;space;apollo;usa
