mission_name,agency,country,launch_year,mission_type,destination,status,duration_days,crew_size,cost_usd_billions,key_achievement,instruments_count,distance_km,scientific_papers_published,notable_discovery
Sputnik 1,Soviet Space Program,USSR,1957,Satellite,Earth Orbit,Completed,92,0,unknown,First artificial satellite in orbit,1,577,0,Demonstrated orbital spaceflight was possible
Vostok 1,Soviet Space Program,USSR,1961,Crewed,Earth Orbit,Completed,0.07,1,unknown,First human in space (Yuri Gagarin),0,40868,0,Human spaceflight is survivable
Mercury-Friendship 7,NASA,USA,1962,Crewed,Earth Orbit,Completed,0.2,1,unknown,First American to orbit Earth (John Glenn),0,121794,0,America's first orbital flight
Mariner 4,NASA,USA,1964,Flyby,Mars,Completed,228,0,0.083,First close-up images of Mars,22,520000000,500+,Mars has craters and a thin atmosphere (no thick atmosphere hoped for life)
Apollo 11,NASA,USA,1969,Crewed Lunar Landing,Moon,Completed,8.01,3,25.4,First humans to walk on the Moon,0,768000,1200+,Moon surface samples; regolith composition; seismic activity
Apollo 13,NASA,USA,1970,Crewed (Emergency Return),Moon,Completed,5.9,3,unknown,Successful crew rescue after explosion,0,768000,50+,Engineering protocols for life-critical emergencies
Pioneer 10,NASA,USA,1972,Flyby,Jupiter/Interstellar,Active (Signal lost 2003),10497,0,0.35,First spacecraft to cross asteroid belt and flyby Jupiter,11,12400000000,300+,Jupiter's radiation environment; heliopause boundary
Mariner 10,NASA,USA,1973,Flyby,Mercury/Venus,Completed,506,0,0.098,First spacecraft to visit Mercury,11,91700000,400+,Mercury has a magnetic field; surface heavily cratered
Viking 1,NASA,USA,1975,Lander/Orbiter,Mars,Completed,2307,0,1.0,First successful Mars lander; biology experiments,13,380000000,1000+,Biology results ambiguous; no definitive signs of life
Viking 2,NASA,USA,1975,Lander/Orbiter,Mars,Completed,1280,0,1.0,Second Mars lander; complementary biology experiments,13,380000000,800+,Validated Viking 1 findings; ice at north pole
Voyager 1,NASA,USA,1977,Flyby/Interstellar,Jupiter/Saturn/Interstellar,Active,17000+,0,0.865,First spacecraft to enter interstellar space (2012),10,23600000000,3000+,Active volcanoes on Io; Saturn ring complexity; interstellar medium properties
Voyager 2,NASA,USA,1977,Flyby/Interstellar,Jupiter/Saturn/Uranus/Neptune/Interstellar,Active,17000+,0,0.865,Only spacecraft to visit all four outer planets,10,19800000000,2500+,Uranus and Neptune atmospheric composition; Triton geysers
Space Shuttle Columbia STS-1,NASA,USA,1981,Crewed/Reusable,Earth Orbit,Completed,2.3,2,10.0,First reusable spacecraft operational flight,0,1670000,100+,Validated reusable spacecraft concept
Hubble Space Telescope,NASA/ESA,USA/Europe,1990,Space Telescope,Earth Orbit,Active,12000+,0,10.0,Transformed optical astronomy; universe age determination,5,538,18000+,Universe expanding accelerating (dark energy); galaxies at cosmic dawn
Galileo,NASA,USA,1989,Orbiter/Probe,Jupiter,Completed,5027,0,1.5,First Jupiter orbiter; Europa ocean evidence,12,628730000,1200+,Europa has subsurface liquid water ocean; Io is most volcanically active body
Mars Pathfinder,NASA,USA,1996,Lander/Rover,Mars,Completed,83,0,0.265,First Mars rover (Sojourner); validated airbag landing,16,380000000,500+,Mars rocks resemble Earth basalts; ancient flood evidence
Cassini-Huygens,NASA/ESA/ASI,USA/Europe/Italy,1997,Orbiter/Probe,Saturn,Completed,4948,0,3.26,Most detailed Saturn study; Titan surface revealed; Enceladus geysers,18,1400000000,4000+,Enceladus has hydrothermal vents and organic chemistry favorable for life
Mars Global Surveyor,NASA,USA,1996,Orbiter,Mars,Completed,3489,0,0.154,Detailed topographic map of Mars,5,380000000,1500+,Mars once had a global magnetic field; layered sedimentary deposits
NEAR Shoemaker,NASA,USA,1996,Orbiter/Lander,Asteroid 433 Eros,Completed,1965,0,0.224,First spacecraft to orbit and land on asteroid,5,240000000,300+,Asteroid surface is loose rubble; first surface images of near-Earth asteroid
